"id","bucket","measure","avg","min","max"
"bst2000-201383","2022-08-02 09:40:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 09:40:00","slave_shaft_motor_heat",36.33,36,37
"bst2000-201383","2022-08-02 09:30:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 09:30:00","master_shaft_motor_heat",34.0,34,34
"bst2000-201383","2022-08-02 09:30:00","pusher_left_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 09:30:00","pusher_right_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 09:30:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 09:30:00","slave_shaft_motor_heat",37.0,37,37
"bst2000-201383","2022-08-02 09:20:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 09:20:00","master_shaft_motor_heat",34.8,34,35
"bst2000-201383","2022-08-02 09:20:00","pusher_left_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 09:20:00","pusher_right_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 09:20:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 09:20:00","slave_shaft_motor_heat",37.0,37,37
"bst2000-201383","2022-08-02 09:10:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 09:10:00","master_shaft_motor_heat",35.0,35,35
"bst2000-201383","2022-08-02 09:10:00","pusher_left_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 09:10:00","pusher_right_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 09:10:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 09:10:00","slave_shaft_motor_heat",37.6,37,38
"bst2000-201383","2022-08-02 09:00:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 09:00:00","master_shaft_motor_heat",35.5,35,36
"bst2000-201383","2022-08-02 09:00:00","pusher_left_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 09:00:00","pusher_right_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 09:00:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 09:00:00","slave_shaft_motor_heat",38.0,38,38
"bst2000-201383","2022-08-02 08:50:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 08:50:00","master_shaft_motor_heat",36.0,36,36
"bst2000-201383","2022-08-02 08:50:00","pusher_left_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 08:50:00","pusher_right_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 08:50:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 08:50:00","slave_shaft_motor_heat",38.0,38,38
"bst2000-201383","2022-08-02 08:40:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 08:40:00","master_shaft_motor_heat",36.0,36,36
"bst2000-201383","2022-08-02 08:40:00","pusher_left_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 08:40:00","pusher_right_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 08:40:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 08:40:00","slave_shaft_motor_heat",38.8,38,39
"bst2000-201383","2022-08-02 08:30:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 08:30:00","master_shaft_motor_heat",36.67,36,37
"bst2000-201383","2022-08-02 08:30:00","pusher_left_motor_heat",27.83,27,28
