"bucket","bm_1_m_status","bm_2_m_status","electrical_consumtion","electrical_current","electrical_power","electrical_voltage","global_status","heat_material_out","lpc_m_status","master_shaft_drive_heat","master_shaft_load","master_shaft_motor_heat","master_shaft_speed","number_of_recipe","ob_1_m_status","production_mode","pusher_left_load","pusher_left_motor_heat","pusher_left_position","pusher_left_speed","pusher_right_load","pusher_right_motor_heat","pusher_right_position","pusher_right_speed","recipe_bst_overheat_info_sp","recipe_bst_overheat_warn_sp","recipe_bst_overload_info_sp","recipe_bst_overload_warn_sp","recipe_bst_speed_sp","recipe_push_down_position_sp","recipe_push_max_load_sp","recipe_push_min_speed_sp","rpc_m_status","shaft_counter_h","slave_shaft_drive_heat","slave_shaft_load","slave_shaft_motor_heat","slaver_shaft_speed","sm_m_status","ss_m_status","weight_pv"
"2022-07-25T06:50:00Z",1,1,0,0,0,0,3,25,7,39,2,49,79,1,1,1,19,31,15,0,0,32,130,0,80,95,40,65,100,200,60,8,1,230,40,2,53,80,1,1,6
"2022-07-25T07:00:00Z",2,2,0,0,0,0,3,28,5,45,13,52,99,1,2,1,36,33,21,0,0,36,356,0,80,95,40,65,100,200,60,8,1,230,46,13,56,99,2,2,46
"2022-07-25T07:10:00Z",2,2,0,0,0,0,2,29,4,51,12,55,100,1,2,1,37,36,208,0,0,37,174,0,80,95,40,65,100,200,60,8,1,230,51,11,58,100,2,2,69
"2022-07-25T07:20:00Z",2,2,0,0,0,0,2,30,4,54,19,59,100,1,2,1,41,40,73,0,0,39,185,0,80,95,40,65,100,200,60,8,1,230,54,18,62,100,2,2,100
"2022-07-25T07:30:00Z",2,2,0,0,0,0,2,28,7,53,4,60,99,1,2,1,0,35,18,0,0,38,336,0,80,95,40,65,100,200,60,8,2,230,54,4,64,99,2,2,28
"2022-07-25T07:40:00Z",2,2,0,0,0,0,2,27,7,52,53,67,92,1,2,1,0,33,18,0,0,38,361,0,80,95,40,65,100,200,60,8,2,231,52,40,71,93,2,2,0
"2022-07-25T07:50:00Z",2,2,0,0,0,0,1,27,7,52,1,57,91,1,2,1,0,33,18,0,0,38,262,0,80,95,40,65,100,200,60,8,1,231,52,1,61,91,1,1,0
"2022-07-25T08:00:00Z",2,2,0,0,0,0,2,29,7,52,9,58,93,1,2,1,16,34,20,0,0,37,284,0,80,95,40,65,100,200,60,8,2,231,52,8,61,93,2,2,55
"2022-07-25T08:10:00Z",2,2,0,0,0,0,3,28,7,56,12,61,99,1,2,1,28,34,20,0,0,39,309,0,80,95,40,65,100,200,60,8,1,231,56,12,64,99,2,2,54
"2022-07-25T08:20:00Z",2,2,0,0,0,0,2,28,7,52,3,63,100,1,2,1,0,33,19,0,0,39,334,0,80,95,40,65,100,200,60,8,2,231,57,3,66,100,2,2,6
"2022-07-25T08:30:00Z",2,2,0,0,0,0,2,28,7,54,3,65,100,1,2,1,0,33,19,0,0,39,335,0,80,95,40,65,100,200,60,8,2,231,57,3,68,100,2,2,3
"2022-07-25T08:40:00Z",2,2,0,0,0,0,2,30,6,56,7,66,100,1,2,1,0,33,19,0,0,39,248,0,80,95,40,65,100,200,60,8,1,232,56,7,69,100,2,2,17
"2022-07-25T08:50:00Z",2,2,0,0,0,0,2,30,7,53,11,69,99,1,2,1,0,33,19,0,0,39,293,0,80,95,40,65,100,200,60,8,2,232,53,10,68,100,2,2,57
"2022-07-25T09:00:00Z",2,2,0,0,0,0,2,28,5,56,2,70,100,1,2,1,0,34,19,0,0,39,245,0,80,95,40,65,100,200,60,8,1,232,55,2,68,100,2,2,3
"2022-07-25T09:10:00Z",2,2,0,0,0,0,2,28,7,56,2,69,100,1,2,1,0,34,19,0,0,40,262,0,80,95,40,65,100,200,60,8,2,232,56,2,69,99,2,2,2
"2022-07-25T09:20:00Z",2,2,0,0,0,0,2,28,7,55,2,70,100,1,2,1,0,34,19,0,0,40,265,0,80,95,40,65,100,200,60,8,2,232,56,2,69,100,2,2,3
"2022-07-25T09:30:00Z",2,2,0,0,0,0,4,30,7,54,14,66,100,1,2,1,32,35,41,0,0,40,107,0,80,95,40,65,100,200,60,8,1,232,56,15,67,100,2,2,49
"2022-07-25T09:40:00Z",2,2,0,0,0,0,3,30,7,54,12,68,100,1,2,1,25,34,17,0,0,40,382,0,80,95,40,65,100,200,60,8,2,233,53,12,69,100,2,2,80
"2022-07-25T09:50:00Z",2,2,0,0,0,0,3,31,6,54,14,69,100,1,2,1,30,35,38,0,0,40,246,0,80,95,40,65,100,200,60,8,1,233,54,13,66,100,2,2,81
"2022-07-25T10:00:00Z",2,2,0,0,0,0,3,31,7,55,15,65,99,1,2,1,38,35,19,0,0,40,330,0,80,95,40,65,100,200,60,8,2,233,55,15,68,99,2,2,96
"2022-07-25T10:10:00Z",2,2,0,0,0,0,4,31,7,54,14,68,99,1,2,1,33,36,17,0,0,40,366,0,80,95,40,65,100,200,60,8,1,233,53,13,70,99,2,2,79
"2022-07-25T10:20:00Z",2,2,0,0,0,0,2,31,6,54,13,69,100,1,2,1,54,40,29,0,0,41,255,0,80,95,40,65,100,200,60,8,1,233,55,12,65,100,2,2,110
"2022-07-25T10:30:00Z",2,2,0,0,0,0,2,30,5,54,13,66,99,1,2,1,55,46,58,0,0,41,299,0,80,95,41,66,100,200,63,9,2,233,52,10,67,99,2,2,70
